relative_position,item_name,item_price
0,Galactic Jack Shatter,9.88
1,Galactic Jack Shatter 5-pack ($25 OFF),49.4
2,Bubba Kush Shatter,9.88
3,Bubba Kush Shatter 5-pack ($25 OFF),49.4
4,Blackberry Kush Shatter,16.45
5,Blackberry Kush Shatter 5-pack ($8 OFF),74.0
6,Kimbo Kush Shatter,16.45
7,Kimbo Kush Shatter 5-pack ($75 OFF),74.0
8,Big Bud Skunk CO2 Oil,19.95
9,Big Bud Skunk CO2 Oil 5-pack ($25 OFF),74.0
10,Gelato Shatter,16.45
11,White Super Skunk Shatter,19.95
12,Mango Kush Shatter,29.95
13,Country Fair Shatter,29.95
14,Jet Fuel Live Resin,39.95
15,Lemon Crippler Live Resin 1 gram,49.95
16,Mendo Breath Live Resin 1 gram,49.95
17,Terp Sauce ~ Golden Lemonade,34.95
18,Panama Red,4.1
19,MK Ultra,4.1
20,Sour Sunset,4.1
21,Purple Hindu Kush,5.76
22,Pineapple Express,7.4
23,Green Quack,7.4
24,Skunk #1,7.4
25,Blueberry,7.4
26,Durban Poison,7.4
27,Durban Princess,9.05
28,GG4,9.05
29,Critical Kush,9.05
30,Purple Punch,9.05
31,Ringo’s Gift,9.05
32,Bubba Kush,10.7
33,Sour Diesel,10.7
34,White Widow,10.7
35,Hippie Chicken,10.7
36,Jack Herer,8.0
37,Mendo Breath,8.0
38,Dr. Who,13.0
39,GS Cookies,9.75
40,Pearls Sativa,24.65
41,Pearls Indica,24.65
42,Cascade Hash,29.95
43,GSC Dabbable Cannabis Oil,39.95
44,Bubba Kush Vape Pen,60.0
45,Strawberry Cough Vape Pen,60.0
46,Jack Herer Vape Pen,60.0
47,Lemon Kush Vape Pen,60.0
48,Dutch Treat Vape Pen,60.0
49,Bubba Kush Oil Cartridge 1 gram,54.0
50,Lemon Kush Oil Cartridge 1 gram,54.0
51,Dutch Treat Oil Cartridge 1 gram,54.0
52,Hush Rose CBD 1:1 Oil Cartridge 1/2 gram,29.95
53,D2 Live Resin Cartridge 1/2 gram,34.95
54,Jilly Bean Live Resin Cartridge 1/2 gram,34.95
55,Larry OG Oil Cartridge 1 gram,35.0
56,Full Spectrum CBD Oil Cartridge 1/2 gram,40.0
57,GSC Oil Cartridge 1 gram,65.0
58,Live Resin Jolly Roll,14.95
59,Balance CBD Pre-roll 1/2 gram ~ Pineapple Jager,6.5
60,Create CBD Pre-roll 1/2 gram ~ Pennywise,6.5
61,Relax CBD Pre-roll 1/2 gram ~ Ringo’s Gift,6.5
62,Star Dawg Pre-roll 1/2 gram,2.45
63,THCa Isolate,40.0
64,CBD Cannabis Oil (RSO),60.0
65,CBD 1:1 Cannabis Oil,50.0
66,THC Cannabis Oil,40.0
67,CBD 1:1 Cannabis Oil Tincture,50.0
68,THC Cannabis Oil Tincture,40.0
69,THC Cannabis RSO,24.65
70,RSO CBD Cannabis Oil,44.95
71,CBD Revive Vape Pen ~ Grapefruit,34.95
72,CBD Relax Vape Pen ~ Lavender,34.95
73,CBD Focus Vape Pen ~ Peppermint,35.0
74,CBD Therapy Pre-roll 1 gram,10.0
75,Grapefruit Pre-roll 1.5 grams,12.5
76,Jack Hammer Pre-rolls 1 gram,7.4
77,Jack Herer Pre-roll 1 gram,7.4
78,CBD OG Kush Pre-roll 1 gram,7.4
79,Lemon Skunk Pre-roll 1 gram,10.0
80,Critical Kush Pre-roll 1 gram,10.0
81,Green Quack Pre-roll 1 gram,10.0
82,Bubba Kush Pre-roll 1 gram,10.0
83,Sour Diesel Pre-roll 1 gram,10.0
84,J1 Pre-roll 1 gram,10.0
85,Power Kush Pre-roll 1 gram,10.0
86,Durban Princess Pre-roll 1 gram,10.0
87,Hippie Chicken Pre-roll 1 gram,12.5
88,White Widow Pre-roll 1 gram,12.5
89,Mint Cookies Blunts,24.65
90,Lion’s OG Blunts,24.65
91,MK Ultra Blunts,24.65
92,Blueberry THC Vape Pen,18.95
93,Strawberry THC Vape Pen,18.95
94,Pomegranate CBD 1:1 Gummies,13.15
95,Marionberry Indica Gummies,13.15
96,Raspberry Sativa Gummies,14.95
97,Strawberry CBD Gummies,14.95
98,Strawberry Medical Squib,14.95
99,Grape Squib,14.95
100,Green Apple Squib,14.95
101,Mango Squib,20.0
102,Watermelon Squib,16.45
103,Cranberry Almond Paleo Bar,16.45
104,Sea Salt Caramel,13.15
105,Brownie Truffle Bites,15.2
106,Fudgy Brownie Bites,15.2
107,Peanut Butter Cups,17.6
108,Milk Chocolate Peanut Butter Pretzel Bar,16.0
109,Gron Dark Chocolate Bar,20.0
110,Gron Milk Chocolate Bar,16.0
111,Empower Topical Relief Oil,28.0
112,Sour Jamberry Gummy,3.7
113,Jamberry Gummy,3.7
114,Sour Blue Raspberry Gummy,3.7
115,Blue Raspberry Gummy,3.7
116,Sour Blackberry Gummy,3.7
117,Blackberry Gummy,3.7
118,Sour Watermelon Gummy,3.7
119,Watermelon Gummy,3.7
120,Topical Relief Lotion,48.0
121,THC Soaking Salts,14.0
122,CBD Soaking Salts,12.0
123,Medicine Farm Dragons Blend,50.0
124,Diem Vape Pen Battery Kit,20.0
125,Rolling Cones,3.0
126,Rolling Papers,2.0
127,Rolling Papers 300-pack,6.25
128,Lighter,2.0
